,Unnamed: 0,Block,Lot,Building_Class,Tax_Class,Building_Count,DOF_Gross_Square_Footage,Address,BoroughName,BBL,ENERGY STAR Score,LetterScore,latitude,longitude,NTA
12085,15566,6538,38,C1,2,1,30000,1366 EAST 3 STREET,BROOKLYN,-2147483648,25,D,40.61715,-73.972707,Midwood
12086,15570,1933,7501,R0,2,1,143892,323 LAFAYETTE AVENUE,BROOKLYN,-2147483648,100,A,40.688798,-73.962671,Clinton Hill
12087,15571,6541,27,D4,2,1,102924,1250 OCEAN PARKWAY,BROOKLYN,-2147483648,48,D,40.618056,-73.969814,Midwood
12088,15574,1949,27,D1,2,1,27797,426 LAFAYETTE AVENUE,BROOKLYN,-2147483648,85,A,40.68889,-73.958225,Bedford-Stuyvesant
12089,15575,5683,40,C7,0,2,39500,1274 55 STREET,BROOKLYN,-2147483648,12,D,40.631687,-73.99596,Borough Park
12090,15577,1952,33,D0,2,1,46433,110 CLIFTON PLACE,BROOKLYN,-2147483648,0,F,40.687997,-73.96012,Clinton Hill
12091,15578,6552,1,D1,2,1,64800,6309 BAY PARKWAY,BROOKLYN,-2147483648,44,D,40.614563,-73.980434,Borough Park
12092,15579,6553,38,C1,2,1,25700,6402 23 AVENUE,BROOKLYN,-2147483648,0,F,40.613074,-73.978964,Borough Park
12093,15580,1953,7503,R0,2,1,90215,339 GREENE AVE,BROOKLYN,-2147483648,24,D,40.687801,-73.957707,Bedford-Stuyvesant
12094,15581,1954,7503,R0,2,1,35800,226 CLIFTON PLACE,BROOKLYN,-2147483648,72,B,40.688561,-73.955374,Bedford-Stuyvesant
12095,15583,1957,7501,R0,2,5,199617,415 CARLTON AVENUE,BROOKLYN,-2147483648,65,C,40.685313,-73.971099,Fort Greene
12096,15586,6561,7,D1,2,1,56400,2402 63 STREET,BROOKLYN,-2147483648,52,D,40.612119,-73.975643,Borough Park
12097,15588,3530,39,C1,2,1,50460,60-52 MADISON STREET,QUEENS,-2147483648,1,D,40.706636,-73.898234,Ridgewood
12098,15589,1972,1,D1,2,1,55487,10 QUINCY STREET,BROOKLYN,-2147483648,85,A,42.892918,-78.822307,Lovejoy
12099,15590,3534,12,W1,0,1,108169,60-85 CATALPA AVENUE,QUEENS,-2147483648,75,B,40.703955,-73.896417,Ridgewood
12100,15591,888,7,E1,4,1,52519,1901 8 AVENUE,BROOKLYN,-2147483648,52,D,40.65825,-73.985678,South Slope
12101,15592,3538,67,D3,2,1,53884,71-13 60 LANE,QUEENS,-2147483648,5,D,40.701078,-73.896227,Ridgewood
12102,15595,3542,70,F4,4,1,25920,56-03 COOPER AVENUE,QUEENS,-2147483648,0,F,40.693045,-73.901964,Ridgewood
12103,15596,1974,7501,R0,2,1,72598,1122 BEDFORD AVENUE,BROOKLYN,-2147483648,32,D,40.686204,-73.954635,Bedford-Stuyvesant
12104,15600,3560,4,W1,0,1,14000,869 CYPRESS AVENUE,QUEENS,-2147483648,32,D,40.699586,-73.905101,Ridgewood
12105,15601,6578,79,D1,2,1,48600,1365 WEST 7 STREET,BROOKLYN,-2147483648,47,D,40.611847,-73.981161,Bensonhurst
12106,15602,6578,100,D1,2,1,53400,1315 WEST 7 STREET,BROOKLYN,-2147483648,25,D,40.612885,-73.981504,Bensonhurst
12107,15603,1982,69,C1,2,1,37100,90 DOWNING STREET,BROOKLYN,-2147483648,72,B,42.834951,-78.820421,South Abbott
12108,15606,914,1,C1,2,1,32000,601 40 STREET,BROOKLYN,-2147483648,87,A,40.649309,-74.001966,Sunset Park
12109,15607,1986,7501,R0,2,1,36851,1142 BEDFORD AVENUE,BROOKLYN,-2147483648,4,D,40.685189,-73.954434,Bedford-Stuyvesant
12110,15608,5714,33,C1,2,1,27520,864 60 STREET,BROOKLYN,-2147483648,36,D,40.63428,-74.008054,Borough Park
12111,15609,5714,57,K2,4,1,26410,835 61 STREET,BROOKLYN,-2147483648,52,D,40.634421,-74.009146,Borough Park
12112,15610,3590,42,E9,4,1,43800,72-42 60 LANE,QUEENS,-2147483648,70,B,40.699219,-73.895369,Glendale
12113,15615,1993,15,W9,4,1,26500,81 IRVING PLACE,BROOKLYN,-2147483648,0,F,40.737242,-73.986575,Gramercy
12114,15616,5729,24,W1,0,1,52758,6200 FORT HAMILTON PARKWAY,BROOKLYN,-2147483648,42,D,40.632067,-74.007383,Borough Park
12115,15618,1994,53,M1,4,1,38400,1091 FULTON STREET,BROOKLYN,-2147483648,0,F,40.681756,-73.958018,Bedford-Stuyvesant
12116,15619,3608,240,E9,4,1,48362,66-25 TRAFFIC AVENUE,QUEENS,-2147483648,9,D,40.708718,-73.892626,Ridgewood
12117,15620,5731,54,C1,2,1,28000,1137 63 STREET,BROOKLYN,-2147483648,94,A,40.629175,-74.003463,Borough Park
12118,15621,5731,59,C1,2,1,28000,1125 63 STREET,BROOKLYN,-2147483648,74,B,40.629346,-74.003746,Borough Park
